Age,Avg of Charges,,BMI,Average of Charges,,No. of children,Average of Charges,,,,,,,,,,,,,,,
,,,21.85,11621,,,,,,,,,,,,,,,,,,
,,,21.89,3181,,,,,,,,,,,,,,,,,,
,,,21.945,4718,,,,,,,,,,,,,,,,,,
,,,22,1965,,,,,,,,,,,,,,,,,,
,,,22.04,13616,,,,,,,,,,,,,,,,,,
,,,22.1,10577,,,,,,,,,,,,,,,,,,
,,,22.135,5868,,,,,,,,,,,,,,,,,,
,,,22.22,19444,,,,,,,,,,,,,,,,,,
,,,22.23,7603,,,,,,,,,,,,,,,,,,
,,,22.3,4625,,,,,,,,,,,,,,,,,,
,,,22.42,17150,,,,,,,,,,,,,,,,,,
,,,22.515,4808,,,,,,,,,,,,,,,,,,
,,,22.6,10533,,,,,,,,,,,,,,,,,,
,,,22.61,9811,,,,,,,,,,,,,,,,,,
,,,22.705,12048,,,,,,,,,,,,,,,,,,
,,,22.77,11834,,,,,,,,,,,,,,,,,,
,,,22.8,8127,,,,,,,,,,,,,,,,,,
,,,22.88,23245,,,,,,,,,,,,,,,,,,
,,,22.895,19257,,,,,,,,,,,,,,,,,,
,,,22.99,15368,,,,,,,,,,,,,,,,,,
,,,23,12094,,,,,,,,,,,,,,,,,,
,,,23.085,8078,,,,,,,,,,,,,,,,,,
,,,23.1,2484,,,,,,,,,,,,,,,,,,
,,,23.18,9869,,,,,,,,,,,,,,,,,,
,,,23.2,6250,,,,,,,,,,,,,,,,,,
,,,23.21,10700,,,,,,,,,,,,,,,,,,
,,,23.275,7986,,,,,,,,,,,,,,,,,,
,,,23.3,11346,,,,,,,,,,,,,,,,,,
,,,23.32,1711,,,,,,,,,,,,,,,,,,
,,,23.37,11634,,,,,,,,,,,,,,,,,,
,,,23.4,2442,,,,,,,,,,,,,,,,,,
,,,23.465,4804,,,,,,,,,,,,,,,,,,
,,,23.54,10107,,,,,,,,,,,,,,,,,,
,,,23.56,6798,,,,,,,,,,,,,,,,,,
,,,23.6,6736,,,,,,,,,,,,,,,,,,
,,,23.65,17626,,,,,,,,,,,,,,,,,,
,,,23.655,16321,,,,,,,,,,,,,,,,,,
,,,23.7,7222,,,,,,,,,,,,,,,,,,
,,,23.75,5504,,,,,,,,,,,,,,,,,,
,,,23.76,26927,,,,,,,,,,,,,,,,,,
,,,23.8,3848,,,,,,,,,,,,,,,,,,
,,,23.845,10407,,,,,,,,,,,,,,,,,,
,,,23.87,8582,,,,,,,,,,,,,,,,,,
,,,23.9,5080,,,,,,,,,,,,,,,,,,
,,,23.94,6858,,,,,,,,,,,,,,,,,,
,,,23.98,16022,,,,,,,,,,,,,,,,,,
,,,24.035,10680,,,,,,,,,,,,,,,,,,
,,,24.09,2201,,,,,,,,,,,,,,,,,,
,,,24.1,14605,,,,,,,,,,,,,,,,,,
,,,24.13,12216,,,,,,,,,,,,,,,,,,
,,,24.225,11401,,,,,,,,,,,,,,,,,,
,,,24.3,4052,,,,,,,,,,,,,,,,,,
,,,24.31,6987,,,,,,,,,,,,,,,,,,
,,,24.32,14056,,,,,,,,,,,,,,,,,,
,,,24.4,18259,,,,,,,,,,,,,,,,,,
,,,24.415,11520,,,,,,,,,,,,,,,,,,
,,,24.42,22237,,,,,,,,,,,,,,,,,,
,,,24.51,3938,,,,,,,,,,,,,,,,,,
,,,24.53,12630,,,,,,,,,,,,,,,,,,
,,,24.6,7954,,,,,,,,,,,,,,,,,,
,,,24.605,10426,,,,,,,,,,,,,,,,,,
,,,24.64,19516,,,,,,,,,,,,,,,,,,
,,,24.7,16527,,,,,,,,,,,,,,,,,,
,,,24.75,16578,,,,,,,,,,,,,,,,,,
,,,24.795,15579,,,,,,,,,,,,,,,,,,
,,,24.86,16542,,,,,,,,,,,,,,,,,,
,,,24.89,21660,,,,,,,,,,,,,,,,,,
,,,24.97,6594,,,,,,,,,,,,,,,,,,
,,,24.985,15629,,,,,,,,,,,,,,,,,,
,,,25,10537,,,,,,,,,,,,,,,,,,
,,,25.08,10741,,,,,,,,,,,,,,,,,,
,,,25.1,25382,,,,,,,,,,,,,,,,,,
,,,25.175,7297,,,,,,,,,,,,,,,,,,
,,,25.2,11837,,,,,,,,,,,,,,,,,,
,,,25.27,9903,,,,,,,,,,,,,,,,,,
,,,25.3,14040,,,,,,,,,,,,,,,,,,
,,,25.365,16950,,,,,,,,,,,,,,,,,,
,,,25.4,8782,,,,,,,,,,,,,,,,,,
,,,25.41,21979,,,,,,,,,,,,,,,,,,
,,,25.46,10316,,,,,,,,,,,,,,,,,,
,,,25.52,14478,,,,,,,,,,,,,,,,,,
,,,25.555,8050,,,,,,,,,,,,,,,,,,
,,,25.6,13234,,,,,,,,,,,,,,,,,,
,,,25.65,11454,,,,,,,,,,,,,,,,,,
,,,25.7,13522,,,,,,,,,,,,,,,,,,
,,,25.74,7667,,,,,,,,,,,,,,,,,,
,,,25.745,5098,,,,,,,,,,,,,,,,,,
,,,25.8,5666,,,,,,,,,,,,,,,,,,
,,,25.84,14118,,,,,,,,,,,,,,,,,,
,,,25.85,24181,,,,,,,,,,,,,,,,,,
,,,25.9,9342,,,,,,,,,,,,,,,,,,
,,,25.935,6513,,,,,,,,,,,,,,,,,,
,,,26.03,6440,,,,,,,,,,,,,,,,,,
,,,26.07,38246,,,,,,,,,,,,,,,,,,
,,,26.125,9517,,,,,,,,,,,,,,,,,,
,,,26.18,4675,,,,,,,,,,,,,,,,,,
,,,26.2,4884,,,,,,,,,,,,,,,,,,
,,,26.22,8399,,,,,,,,,,,,,,,,,,
,,,26.29,27809,,,,,,,,,,,,,,,,,,
,,,26.315,5608,,,,,,,,,,,,,,,,,,
,,,26.4,14968,,,,,,,,,,,,,,,,,,
,,,26.41,11237,,,,,,,,,,,,,,,,,,
,,,26.505,12815,,,,,,,,,,,,,,,,,,
,,,26.51,3078,,,,,,,,,,,,,,,,,,
,,,26.6,10826,,,,,,,,,,,,,,,,,,
,,,26.62,5750,,,,,,,,,,,,,,,,,,
,,,26.695,15609,,,,,,,,,,,,,,,,,,
,,,26.7,16815,,,,,,,,,,,,,,,,,,
,,,26.73,3309,,,,,,,,,,,,,,,,,,
,,,26.79,8400,,,,,,,,,,,,,,,,,,
,,,26.8,19533,,,,,,,,,,,,,,,,,,
,,,26.84,9375,,,,,,,,,,,,,,,,,,
,,,26.885,15204,,,,,,,,,,,,,,,,,,
,,,26.9,5970,,,,,,,,,,,,,,,,,,
,,,26.98,14823,,,,,,,,,,,,,,,,,,
,,,27,11738,,,,,,,,,,,,,,,,,,
,,,27.06,17043,,,,,,,,,,,,,,,,,,
,,,27.075,10106,,,,,,,,,,,,,,,,,,
,,,27.1,13020,,,,,,,,,,,,,,,,,,
,,,27.17,10412,,,,,,,,,,,,,,,,,,
,,,27.2,6970,,,,,,,,,,,,,,,,,,
,,,27.265,10789,,,,,,,,,,,,,,,,,,
,,,27.28,18223,,,,,,,,,,,,,,,,,,
,,,27.3,16233,,,,,,,,,,,,,,,,,,
,,,27.36,12882,,,,,,,,,,,,,,,,,,
,,,27.4,7112,,,,,,,,,,,,,,,,,,
,,,27.455,7440,,,,,,,,,,,,,,,,,,
,,,27.5,10999,,,,,,,,,,,,,,,,,,
,,,27.55,9106,,,,,,,,,,,,,,,,,,
,,,27.6,14943,,,,,,,,,,,,,,,,,,
,,,27.61,4747,,,,,,,,,,,,,,,,,,
,,,27.645,13067,,,,,,,,,,,,,,,,,,
,,,27.7,8755,,,,,,,,,,,,,,,,,,
,,,27.72,7278,,,,,,,,,,,,,,,,,,
,,,27.74,13540,,,,,,,,,,,,,,,,,,
,,,27.8,37830,,,,,,,,,,,,,,,,,,
,,,27.83,16333,,,,,,,,,,,,,,,,,,
,,,27.835,7940,,,,,,,,,,,,,,,,,,
,,,27.9,16885,,,,,,,,,,,,,,,,,,
,,,27.93,8990,,,,,,,,,,,,,,,,,,
,,,27.94,11176,,,,,,,,,,,,,,,,,,
,,,28,14615,,,,,,,,,,,,,,,,,,
,,,28.025,14168,,,,,,,,,,,,,,,,,,
,,,28.05,5720,,,,,,,,,,,,,,,,,,
,,,28.1,11354,,,,,,,,,,,,,,,,,,
,,,28.12,14395,,,,,,,,,,,,,,,,,,
,,,28.16,10703,,,,,,,,,,,,,,,,,,
,,,28.2,13042,,,,,,,,,,,,,,,,,,
,,,28.215,12437,,,,,,,,,,,,,,,,,,
,,,28.27,5132,,,,,,,,,,,,,,,,,,
,,,28.3,19082,,,,,,,,,,,,,,,,,,
,,,28.31,15961,,,,,,,,,,,,,,,,,,
,,,28.38,19522,,,,,,,,,,,,,,,,,,
,,,28.4,2087,,,,,,,,,,,,,,,,,,
,,,28.405,5596,,,,,,,,,,,,,,,,,,
,,,28.49,18328,,,,,,,,,,,,,,,,,,
,,,28.5,13102,,,,,,,,,,,,,,,,,,
,,,28.595,11277,,,,,,,,,,,,,,,,,,
,,,28.6,8153,,,,,,,,,,,,,,,,,,
,,,28.69,13023,,,,,,,,,,,,,,,,,,
,,,28.7,8533,,,,,,,,,,,,,,,,,,
,,,28.785,8805,,,,,,,,,,,,,,,,,,
,,,28.8,6282,,,,,,,,,,,,,,,,,,
,,,28.82,2157,,,,,,,,,,,,,,,,,,
,,,28.88,8271,,,,,,,,,,,,,,,,,,
,,,28.9,7384,,,,,,,,,,,,,,,,,,
,,,28.93,9889,,,,,,,,,,,,,,,,,,
,,,28.975,9244,,,,,,,,,,,,,,,,,,
,,,29,9447,,,,,,,,,,,,,,,,,,
,,,29.04,7244,,,,,,,,,,,,,,,,,,
,,,29.07,23247,,,,,,,,,,,,,,,,,,
,,,29.1,3761,,,,,,,,,,,,,,,,,,
,,,29.15,10575,,,,,,,,,,,,,,,,,,
,,,29.165,7324,,,,,,,,,,,,,,,,,,
,,,29.2,10436,,,,,,,,,,,,,,,,,,
,,,29.26,5358,,,,,,,,,,,,,,,,,,
,,,29.3,8903,,,,,,,,,,,,,,,,,,
,,,29.355,5479,,,,,,,,,,,,,,,,,,
,,,29.37,5134,,,,,,,,,,,,,,,,,,
,,,29.4,6059,,,,,,,,,,,,,,,,,,
,,,29.45,2897,,,,,,,,,,,,,,,,,,
,,,29.48,6840,,,,,,,,,,,,,,,,,,
,,,29.5,6312,,,,,,,,,,,,,,,,,,
,,,29.545,8931,,,,,,,,,,,,,,,,,,
,,,29.59,4255,,,,,,,,,,,,,,,,,,
,,,29.6,9133,,,,,,,,,,,,,,,,,,
,,,29.64,14386,,,,,,,,,,,,,,,,,,
,,,29.7,11386,,,,,,,,,,,,,,,,,,
,,,29.735,14098,,,,,,,,,,,,,,,,,,
,,,29.8,13157,,,,,,,,,,,,,,,,,,
,,,29.81,15401,,,,,,,,,,,,,,,,,,
,,,29.83,14239,,,,,,,,,,,,,,,,,,
,,,29.9,8051,,,,,,,,,,,,,,,,,,
,,,29.92,10357,,,,,,,,,,,,,,,,,,
,,,29.925,11434,,,,,,,,,,,,,,,,,,
,,,30,12524,,,,,,,,,,,,,,,,,,
,,,30.02,19102,,,,,,,,,,,,,,,,,,
,,,30.03,5058,,,,,,,,,,,,,,,,,,
,,,30.1,5542,,,,,,,,,,,,,,,,,,
,,,30.115,10540,,,,,,,,,,,,,,,,,,
,,,30.14,6507,,,,,,,,,,,,,,,,,,
,,,30.2,17976,,,,,,,,,,,,,,,,,,
,,,30.21,16583,,,,,,,,,,,,,,,,,,
,,,30.25,18126,,,,,,,,,,,,,,,,,,
,,,30.3,5003,,,,,,,,,,,,,,,,,,
,,,30.305,7071,,,,,,,,,,,,,,,,,,
,,,30.36,62593,,,,,,,,,,,,,,,,,,
,,,30.4,12038,,,,,,,,,,,,,,,,,,
,,,30.495,16754,,,,,,,,,,,,,,,,,,
,,,30.5,7647,,,,,,,,,,,,,,,,,,
,,,30.59,8083,,,,,,,,,,,,,,,,,,
,,,30.685,28030,,,,,,,,,,,,,,,,,,
,,,30.69,6854,,,,,,,,,,,,,,,,,,
,,,30.78,21517,,,,,,,,,,,,,,,,,,
,,,30.8,16077,,,,,,,,,,,,,,,,,,
,,,30.875,12612,,,,,,,,,,,,,,,,,,
,,,30.9,17858,,,,,,,,,,,,,,,,,,
,,,30.97,10601,,,,,,,,,,,,,,,,,,
,,,31,5365,,,,,,,,,,,,,,,,,,
,,,31.02,19456,,,,,,,,,,,,,,,,,,
,,,31.065,11681,,,,,,,,,,,,,,,,,,
,,,31.1,1526,,,,,,,,,,,,,,,,,,
,,,31.13,11819,,,,,,,,,,,,,,,,,,
,,,31.16,17853,,,,,,,,,,,,,,,,,,
,,,31.2,9626,,,,,,,,,,,,,,,,,,
,,,31.24,10339,,,,,,,,,,,,,,,,,,
,,,31.255,4075,,,,,,,,,,,,,,,,,,
,,,31.3,47291,,,,,,,,,,,,,,,,,,
,,,31.35,17972,,,,,,,,,,,,,,,,,,
,,,31.4,24221,,,,,,,,,,,,,,,,,,
,,,31.445,11469,,,,,,,,,,,,,,,,,,
,,,31.46,14439,,,,,,,,,,,,,,,,,,
,,,31.5,4239,,,,,,,,,,,,,,,,,,
,,,31.54,8251,,,,,,,,,,,,,,,,,,
,,,31.57,8698,,,,,,,,,,,,,,,,,,
,,,31.6,8718,,,,,,,,,,,,,,,,,,
,,,31.635,8266,,,,,,,,,,,,,,,,,,
,,,31.68,34488,,,,,,,,,,,,,,,,,,
,,,31.73,16974,,,,,,,,,,,,,,,,,,
,,,31.79,19432,,,,,,,,,,,,,,,,,,
,,,31.8,13881,,,,,,,,,,,,,,,,,,
,,,31.825,17067,,,,,,,,,,,,,,,,,,
,,,31.9,16601,,,,,,,,,,,,,,,,,,
,,,31.92,16626,,,,,,,,,,,,,,,,,,
,,,32,8551,,,,,,,,,,,,,,,,,,
,,,32.01,6964,,,,,,,,,,,,,,,,,,
,,,32.015,26913,,,,,,,,,,,,,,,,,,
,,,32.1,14007,,,,,,,,,,,,,,,,,,
,,,32.11,9171,,,,,,,,,,,,,,,,,,
,,,32.12,2801,,,,,,,,,,,,,,,,,,
,,,32.2,20319,,,,,,,,,,,,,,,,,,
,,,32.205,10162,,,,,,,,,,,,,,,,,,
,,,32.23,13545,,,,,,,,,,,,,,,,,,
,,,32.3,14100,,,,,,,,,,,,,,,,,,
,,,32.34,6986,,,,,,,,,,,,,,,,,,
,,,32.395,12151,,,,,,,,,,,,,,,,,,
,,,32.4,4150,,,,,,,,,,,,,,,,,,
,,,32.45,45009,,,,,,,,,,,,,,,,,,
,,,32.49,20195,,,,,,,,,,,,,,,,,,
,,,32.5,6238,,,,,,,,,,,,,,,,,,
,,,32.56,21383,,,,,,,,,,,,,,,,,,
,,,32.585,4847,,,,,,,,,,,,,,,,,,
,,,32.6,7698,,,,,,,,,,,,,,,,,,
,,,32.67,6652,,,,,,,,,,,,,,,,,,
,,,32.68,13881,,,,,,,,,,,,,,,,,,
,,,32.7,19032,,,,,,,,,,,,,,,,,,
,,,32.775,18436,,,,,,,,,,,,,,,,,,
,,,32.78,36021,,,,,,,,,,,,,,,,,,
,,,32.8,24200,,,,,,,,,,,,,,,,,,
,,,32.87,7050,,,,,,,,,,,,,,,,,,
,,,32.9,14403,,,,,,,,,,,,,,,,,,
,,,32.965,12327,,,,,,,,,,,,,,,,,,
,,,33,6854,,,,,,,,,,,,,,,,,,
,,,33.06,7749,,,,,,,,,,,,,,,,,,
,,,33.1,13917,,,,,,,,,,,,,,,,,,
,,,33.11,23126,,,,,,,,,,,,,,,,,,
,,,33.155,5715,,,,,,,,,,,,,,,,,,
,,,33.2,13463,,,,,,,,,,,,,,,,,,
,,,33.25,8627,,,,,,,,,,,,,,,,,,
,,,33.3,6344,,,,,,,,,,,,,,,,,,
,,,33.33,14033,,,,,,,,,,,,,,,,,,
,,,33.345,12376,,,,,,,,,,,,,,,,,,
,,,33.4,17461,,,,,,,,,,,,,,,,,,
,,,33.44,8865,,,,,,,,,,,,,,,,,,
,,,33.5,37079,,,,,,,,,,,,,,,,,,
,,,33.535,20010,,,,,,,,,,,,,,,,,,
,,,33.55,5700,,,,,,,,,,,,,,,,,,
,,,33.63,20835,,,,,,,,,,,,,,,,,,
,,,33.66,7250,,,,,,,,,,,,,,,,,,
,,,33.7,7919,,,,,,,,,,,,,,,,,,
,,,33.725,9900,,,,,,,,,,,,,,,,,,
,,,33.77,1700,,,,,,,,,,,,,,,,,,
,,,33.8,47928,,,,,,,,,,,,,,,,,,
,,,33.82,10539,,,,,,,,,,,,,,,,,,
,,,33.88,23453,,,,,,,,,,,,,,,,,,
,,,33.915,9104,,,,,,,,,,,,,,,,,,
,,,33.99,2850,,,,,,,,,,,,,,,,,,
,,,34.01,11357,,,,,,,,,,,,,,,,,,
,,,34.1,12246,,,,,,,,,,,,,,,,,,
,,,34.105,23988,,,,,,,,,,,,,,,,,,
,,,34.2,20605,,,,,,,,,,,,,,,,,,
,,,34.21,14933,,,,,,,,,,,,,,,,,,
,,,34.295,13224,,,,,,,,,,,,,,,,,,
,,,34.3,9563,,,,,,,,,,,,,,,,,,
,,,34.32,7226,,,,,,,,,,,,,,,,,,
,,,34.39,25245,,,,,,,,,,,,,,,,,,
,,,34.4,11952,,,,,,,,,,,,,,,,,,
,,,34.43,13765,,,,,,,,,,,,,,,,,,
,,,34.485,31522,,,,,,,,,,,,,,,,,,
,,,34.5,13823,,,,,,,,,,,,,,,,,,
,,,34.58,5827,,,,,,,,,,,,,,,,,,
,,,34.6,21841,,,,,,,,,,,,,,,,,,
,,,34.675,4519,,,,,,,,,,,,,,,,,,
,,,34.7,21240,,,,,,,,,,,,,,,,,,
,,,34.77,6290,,,,,,,,,,,,,,,,,,
,,,34.8,18624,,,,,,,,,,,,,,,,,,
,,,34.865,7422,,,,,,,,,,,,,,,,,,
,,,34.87,2021,,,,,,,,,,,,,,,,,,
,,,34.9,34829,,,,,,,,,,,,,,,,,,
,,,34.96,30047,,,,,,,,,,,,,,,,,,
,,,35.09,47056,,,,,,,,,,,,,,,,,,
,,,35.1,12645,,,,,,,,,,,,,,,,,,
,,,35.15,2135,,,,,,,,,,,,,,,,,,
,,,35.2,16952,,,,,,,,,,,,,,,,,,
,,,35.245,11899,,,,,,,,,,,,,,,,,,
,,,35.3,22872,,,,,,,,,,,,,,,,,,
,,,35.31,23265,,,,,,,,,,,,,,,,,,
,,,35.4,1263,,,,,,,,,,,,,,,,,,
,,,35.42,2323,,,,,,,,,,,,,,,,,,
,,,35.435,3269,,,,,,,,,,,,,,,,,,
,,,35.5,44585,,,,,,,,,,,,,,,,,,
,,,35.53,23457,,,,,,,,,,,,,,,,,,
,,,35.6,35586,,,,,,,,,,,,,,,,,,
,,,35.625,13237,,,,,,,,,,,,,,,,,,
,,,35.64,7346,,,,,,,,,,,,,,,,,,
,,,35.7,11363,,,,,,,,,,,,,,,,,,
,,,35.72,10775,,,,,,,,,,,,,,,,,,
,,,35.75,27815,,,,,,,,,,,,,,,,,,
,,,35.8,9417,,,,,,,,,,,,,,,,,,
,,,35.815,7545,,,,,,,,,,,,,,,,,,
,,,35.86,15637,,,,,,,,,,,,,,,,,,
,,,35.9,11164,,,,,,,,,,,,,,,,,,
,,,35.91,20014,,,,,,,,,,,,,,,,,,
,,,35.97,18246,,,,,,,,,,,,,,,,,,
,,,36,5362,,,,,,,,,,,,,,,,,,
,,,36.005,13229,,,,,,,,,,,,,,,,,,
,,,36.08,24372,,,,,,,,,,,,,,,,,,
,,,36.1,16797,,,,,,,,,,,,,,,,,,
,,,36.19,22270,,,,,,,,,,,,,,,,,,
,,,36.195,7444,,,,,,,,,,,,,,,,,,
,,,36.2,8263,,,,,,,,,,,,,,,,,,
,,,36.29,6552,,,,,,,,,,,,,,,,,,
,,,36.3,27132,,,,,,,,,,,,,,,,,,
,,,36.385,29977,,,,,,,,,,,,,,,,,,
,,,36.4,51195,,,,,,,,,,,,,,,,,,
,,,36.48,22598,,,,,,,,,,,,,,,,,,
,,,36.52,28288,,,,,,,,,,,,,,,,,,
,,,36.575,5404,,,,,,,,,,,,,,,,,,
,,,36.6,11265,,,,,,,,,,,,,,,,,,
,,,36.63,19434,,,,,,,,,,,,,,,,,,
,,,36.67,29401,,,,,,,,,,,,,,,,,,
,,,36.7,9145,,,,,,,,,,,,,,,,,,
,,,36.765,29449,,,,,,,,,,,,,,,,,,
,,,36.85,12265,,,,,,,,,,,,,,,,,,
,,,36.86,26733,,,,,,,,,,,,,,,,,,
,,,36.955,26120,,,,,,,,,,,,,,,,,,
,,,36.96,49578,,,,,,,,,,,,,,,,,,
,,,37,6815,,,,,,,,,,,,,,,,,,
,,,37.05,19867,,,,,,,,,,,,,,,,,,
,,,37.07,28801,,,,,,,,,,,,,,,,,,
,,,37.1,7508,,,,,,,,,,,,,,,,,,
,,,37.145,6334,,,,,,,,,,,,,,,,,,
,,,37.18,5918,,,,,,,,,,,,,,,,,,
,,,37.29,4099,,,,,,,,,,,,,,,,,,
,,,37.3,20630,,,,,,,,,,,,,,,,,,
,,,37.335,5329,,,,,,,,,,,,,,,,,,
,,,37.4,14804,,,,,,,,,,,,,,,,,,
,,,37.43,6175,,,,,,,,,,,,,,,,,,
,,,37.51,10785,,,,,,,,,,,,,,,,,,
,,,37.525,33472,,,,,,,,,,,,,,,,,,
,,,37.62,20466,,,,,,,,,,,,,,,,,,
,,,37.7,48824,,,,,,,,,,,,,,,,,,
,,,37.715,30064,,,,,,,,,,,,,,,,,,
,,,37.73,7638,,,,,,,,,,,,,,,,,,
,,,37.8,39241,,,,,,,,,,,,,,,,,,
,,,37.9,6474,,,,,,,,,,,,,,,,,,
,,,37.905,14211,,,,,,,,,,,,,,,,,,
,,,38,10070,,,,,,,,,,,,,,,,,,
,,,38.06,25543,,,,,,,,,,,,,,,,,,
,,,38.095,32905,,,,,,,,,,,,,,,,,,
,,,38.17,15429,,,,,,,,,,,,,,,,,,
,,,38.19,14411,,,,,,,,,,,,,,,,,,
,,,38.28,8664,,,,,,,,,,,,,,,,,,
,,,38.285,7935,,,,,,,,,,,,,,,,,,
,,,38.38,12173,,,,,,,,,,,,,,,,,,
,,,38.39,28944,,,,,,,,,,,,,,,,,,
,,,38.6,7544,,,,,,,,,,,,,,,,,,
,,,38.665,3393,,,,,,,,,,,,,,,,,,
,,,38.83,12361,,,,,,,,,,,,,,,,,,
,,,38.9,5972,,,,,,,,,,,,,,,,,,
,,,38.94,23837,,,,,,,,,,,,,,,,,,
,,,38.95,42983,,,,,,,,,,,,,,,,,,
,,,39.05,22958,,,,,,,,,,,,,,,,,,
,,,39.1,14235,,,,,,,,,,,,,,,,,,
,,,39.14,12890,,,,,,,,,,,,,,,,,,
,,,39.16,9841,,,,,,,,,,,,,,,,,,
,,,39.2,13471,,,,,,,,,,,,,,,,,,
,,,39.27,3501,,,,,,,,,,,,,,,,,,
,,,39.33,14902,,,,,,,,,,,,,,,,,,
,,,39.4,38345,,,,,,,,,,,,,,,,,,
,,,39.425,8343,,,,,,,,,,,,,,,,,,
,,,39.49,2795,,,,,,,,,,,,,,,,,,
,,,39.5,5781,,,,,,,,,,,,,,,,,,
,,,39.52,6949,,,,,,,,,,,,,,,,,,
,,,39.6,10544,,,,,,,,,,,,,,,,,,
,,,39.615,2730,,,,,,,,,,,,,,,,,,
,,,39.7,11855,,,,,,,,,,,,,,,,,,
,,,39.71,19497,,,,,,,,,,,,,,,,,,
,,,39.8,15170,,,,,,,,,,,,,,,,,,
,,,39.805,5102,,,,,,,,,,,,,,,,,,
,,,39.82,5840,,,,,,,,,,,,,,,,,,
,,,39.9,48173,,,,,,,,,,,,,,,,,,
,,,39.93,12983,,,,,,,,,,,,,,,,,,
,,,39.995,9705,,,,,,,,,,,,,,,,,,
,,,40.15,17110,,,,,,,,,,,,,,,,,,
,,,40.185,2709,,,,,,,,,,,,,,,,,,
,,,40.26,3672,,,,,,,,,,,,,,,,,,
,,,40.28,11463,,,,,,,,,,,,,,,,,,
,,,40.3,10602,,,,,,,,,,,,,,,,,,
,,,40.37,27439,,,,,,,,,,,,,,,,,,
,,,40.375,8733,,,,,,,,,,,,,,,,,,
